# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 47  of event 'cpu_core/mem-loads-aux/'
# Total weight : 47
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object       Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  ..................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.46%             2  5             L1 hit                                   [k] remove_wait_queue                      [kernel.kallsyms]        [k] 0xffff8c3c0532f1f8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.46%             2  5             L1 hit                                   [k] update_load_avg                        [kernel.kallsyms]        [k] 0xffffd3a8401abd50  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.46%             2  5             L1 hit                                   [.] 0x000000000009776a                     libc.so.6                [.] 0x000055eb466863d8  [heap]             None          L1 or L2 hit            Yes      N/A        0                    0                   
     0.46%             2  5             L1 hit                                   [.] 0x00000000000bdb4f                     libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05b30  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.46%             2  5             L1 hit                                   [.] 0x00000000000be642                     libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05bb0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.46%             2  5             L1 hit                                   [.] 0x00000000000951f7                     libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05bf0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.46%             2  5             L1 hit                                   [.] 0x000000000005a6d9                     libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05c68  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.46%             2  5             L1 hit                                   [.] 0x000000000005c6d5                     libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cac  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.37%             1  8             LFB/MAB hit                              [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffff8c3bd4ee9ee8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.28%             1  6             L1 hit                                   [k] kvm_set_irq                            [kernel.kallsyms]        [k] 0xffffd3a84d42fab0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.28%             1  6             L1 hit                                   [k] tomoyo_path_number_perm                [kernel.kallsyms]        [k] 0xffffd3a84d42fad0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __ct_user_exit                         [kernel.kallsyms]        [k] 0xffff8c3f0f330ba4  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __ct_user_exit                         [kernel.kallsyms]        [k] 0xffffd3a84d42fbb0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __dequeue_entity                       [kernel.kallsyms]        [k] 0xffff8c3bfbe2f040  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __enqueue_entity                       [kernel.kallsyms]        [k] 0xffff8c3bc790d428  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __flush_work                           [kernel.kallsyms]        [k] 0xffffd3a84d42f640  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __flush_work                           [kernel.kallsyms]        [k] 0xffffd3a84d42f668  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.23%             1  5             L1 hit                                   [k] __flush_work                           [kernel.kallsyms]        [k] 0xffffd3a84d42f6d8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
