# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18  of event 'cpu_core/mem-loads-aux/'
# Total weight : 18
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    94.44%            17  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     5.56%             1  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 86  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 6927
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                    Shared Object            Data Symbol                             Data Object         Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ........................................  .......................  ......................................  ..................  ............  ......................  ......  ..........  ...................  ....................
#
     0.07%             1  5             L1 hit                                   [k] psi_group_change                      [kernel.kallsyms]        [k] 0xffffd3a8401abda0                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        283                  0                   
     0.07%             1  5             L1 hit                                   [k] psi_group_change                      [kernel.kallsyms]        [k] 0xffffd3a84d42f5f0                  [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       93                   0                   
     0.07%             1  5             L1 hit                                   [k] psi_group_change                      [kernel.kallsyms]        [k] 0xffffd3a84d42f628                  [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       68                   0                   
     0.07%             1  5             L1 hit                                   [k] psi_group_change                      [kernel.kallsyms]        [k] 0xffffd3a84d42f6a8                  [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       69                   0                   
     0.07%             1  5             L1 hit                                   [k] psi_group_change                      [kernel.kallsyms]        [k] 0xffffd3a84d42f7a0                  [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       180                  0                   
     0.07%             1  5             L1 hit                                   [k] put_prev_entity                       [kernel.kallsyms]        [k] 0xffffd3a84d42f6f0                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        32                   0                   
     0.07%             1  5             L1 hit                                   [.] qemu_main_loop                        qemu-system-x86_64       [.] 0x000055eb11814ea4                  anon                None          L1 or L2 hit            Yes      N/A        33                   0                   
     0.07%             1  5             L1 hit                                   [k] remove_wait_queue                     [kernel.kallsyms]        [k] 0xffffd3a84d42f910                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        219                  0                   
     0.07%             1  5             L1 hit                                   [k] tick_nohz_dep_clear_cpu               [kernel.kallsyms]        [k] 0xffff8c3f0f3264d8                  [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        95                   0                   
     0.07%             1  5             L1 hit                                   [k] update_curr_se                        [kernel.kallsyms]        [k] 0xffffd3a84d42f518                  [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       90                   0                   
     0.07%             1  5             L1 hit                                   [.] 0x0000000000097780                    libc.so.6                [.] 0x000055eb11814fcc                  anon                None          L1 or L2 hit            No       N/A        183                  0                   
     0.07%             1  5             L1 hit                                   [.] 0x0000000000b1860f                    qemu-system-x86_64       [.] 0x00007ffef8c05cb0                  [stack]             None          L1 or L2 hit            Yes      N/A        45                   0                   


# Samples: 515  of event 'cpu_core/mem-stores/P'
# Total weight : 3101
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     5.55%             1  172           L1 hit                                   [k] __rmqueue_pcplist                      [kernel.kallsyms]        [k] 0xffffd3a84d42f638  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.97%             1  154           LFB/MAB hit                              [k] tick_irq_enter                         [kernel.kallsyms]        [k] 0xffffd3a84007efd0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     2.61%             1  81            LFB/MAB hit                              [.] 0x00000000000be666                     libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05b58  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.16%             1  36            L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42fbe8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.97%             6  5             L1 hit                                   [k] __rcu_read_unlock                      [kernel.kallsyms]        [k] 0xffff8c3d4f3f553c  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.84%             1  26            L1 hit                                   [k] kvm_set_irq                            [kernel.kallsyms]        [k] 0xffffd3a84d42fb80  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.81%             1  25            L2 hit                                   [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffffd3a8401abcf8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.81%             5  5             L1 hit                                   [k] enqueue_entity                         [kernel.kallsyms]        [k] 0xffffd3a8401abd58  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.74%             1  23            LFB/MAB hit                              [.] 0x00000000000bdb49                     libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05b48  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.68%             1  21            L2 hit                                   [k] sched_balance_newidle                  [kernel.kallsyms]        [k] 0xffff8c3f0f336ac0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
